date,query,clicks,impressions,position
2026-08-08|日本 の 国宝 の 城,日本 の 国宝 の 城,0,1,69.0
2026-08-08|日本 名城,日本 名城,0,1,69.0
2026-08-08|日本 名城 100,日本 名城 100,0,1,56.0
2026-08-08|日本 山城,日本 山城,0,1,55.0
"2026-08-09|""龍勢"" ""作成中"" ""城めぐり"" アプリ","""龍勢"" ""作成中"" ""城めぐり"" アプリ",0,1,10.0
"2026-08-09|""龍勢作成中"" 城めぐり アプリ","""龍勢作成中"" 城めぐり アプリ",0,1,11.0
2026-08-09|100 名城,100 名城,0,1,55.0
2026-08-09|100名城,100名城,0,2,31.5
2026-08-09|shiredo,shiredo,0,1,2.0
2026-08-09|shirodo,shirodo,0,2,1.5
2026-08-09|お 城 ランキング 100,お 城 ランキング 100,0,1,68.0
2026-08-09|全国 城 一覧,全国 城 一覧,0,2,54.0
2026-08-09|国宝 の 城 一覧,国宝 の 城 一覧,0,2,68.0
2026-08-09|城 名前,城 名前,0,1,67.0
2026-08-09|城 日本,城 日本,0,1,75.0
2026-08-09|城の数 日本,城の数 日本,0,1,70.0
2026-08-09|城の種類,城の種類,0,1,56.0
2026-08-09|城日本,城日本,0,1,68.0
2026-08-09|城道,城道,0,4,2.0
2026-08-09|日本 100 名城,日本 100 名城,0,1,57.0
2026-08-09|日本 の 国宝 の 城,日本 の 国宝 の 城,0,1,69.0
2026-08-09|日本 名城,日本 名城,0,1,69.0
2026-08-09|日本 名城 100,日本 名城 100,0,1,56.0
2026-08-09|日本 山城,日本 山城,0,1,55.0
"2026-08-10|""龍勢"" ""作成中"" ""城めぐり"" アプリ","""龍勢"" ""作成中"" ""城めぐり"" アプリ",0,1,10.0
"2026-08-10|""龍勢作成中"" 城めぐり アプリ","""龍勢作成中"" 城めぐり アプリ",0,1,11.0
2026-08-10|100 名城,100 名城,0,1,55.0
2026-08-10|100名城,100名城,0,2,31.5
2026-08-10|shiredo,shiredo,0,1,2.0
2026-08-10|shirodo,shirodo,0,1,1.0
2026-08-10|全国 城 一覧,全国 城 一覧,0,2,54.0
2026-08-10|国宝 の 城 一覧,国宝 の 城 一覧,0,1,72.0
2026-08-10|城の数 日本,城の数 日本,0,1,70.0
2026-08-10|城道,城道,0,4,2.0
2026-08-10|日本 100 名城,日本 100 名城,0,1,57.0
2026-08-10|日本 の 国宝 の 城,日本 の 国宝 の 城,0,1,69.0
2026-08-10|日本 名城,日本 名城,0,1,69.0
2026-08-10|日本 名城 100,日本 名城 100,0,1,56.0
2026-08-10|日本 山城,日本 山城,0,1,55.0
2026-08-10|日本100名城,日本100名城,0,1,14.0
2026-08-10|日本の城の数,日本の城の数,0,1,65.0
2026-08-10|日本名城百選,日本名城百選,0,1,21.0
2026-08-10|有名 城,有名 城,0,1,76.0
2026-08-10|現存 城,現存 城,0,1,84.0
"2026-08-11|""龍勢"" ""作成中"" ""城めぐり"" アプリ","""龍勢"" ""作成中"" ""城めぐり"" アプリ",0,1,10.0
"2026-08-11|""龍勢作成中"" 城めぐり アプリ","""龍勢作成中"" 城めぐり アプリ",0,1,11.0
2026-08-11|100 名城,100 名城,0,1,55.0
2026-08-11|100名城,100名城,0,2,31.5
2026-08-11|shiredo,shiredo,0,1,2.0
2026-08-11|shirodo,shirodo,0,1,1.0
2026-08-11|全国 城 一覧,全国 城 一覧,0,2,54.0
2026-08-11|国宝 の 城 一覧,国宝 の 城 一覧,0,1,72.0
2026-08-11|城の数 日本,城の数 日本,0,1,70.0
2026-08-11|城道,城道,0,3,2.0
2026-08-11|日本 100 名城,日本 100 名城,0,1,57.0
2026-08-11|日本 の 国宝 の 城,日本 の 国宝 の 城,0,1,69.0
2026-08-11|日本100名城,日本100名城,0,1,14.0
2026-08-11|日本の城の数,日本の城の数,0,1,65.0
2026-08-11|日本名城百選,日本名城百選,0,1,21.0
2026-08-11|有名 城,有名 城,0,1,76.0
2026-08-11|現存 城,現存 城,0,1,84.0
2026-08-11|現存城,現存城,0,1,80.0
2026-08-11|百名城,百名城,0,5,8.0
2026-08-11|百名城 続百名城,百名城 続百名城,0,1,93.0
"2026-08-12|""龍勢"" ""作成中"" ""城めぐり"" アプリ","""龍勢"" ""作成中"" ""城めぐり"" アプリ",0,1,10.0
"2026-08-12|""龍勢作成中"" 城めぐり アプリ","""龍勢作成中"" 城めぐり アプリ",0,1,11.0
2026-08-12|100 名城,100 名城,0,1,55.0
2026-08-12|100名城,100名城,0,2,17.0
2026-08-12|shiredo,shiredo,0,1,2.0
2026-08-12|国宝 の 城 一覧,国宝 の 城 一覧,0,1,72.0
2026-08-12|城の数 日本,城の数 日本,0,1,70.0
2026-08-12|城道,城道,0,3,2.0
2026-08-12|日本 100 名城,日本 100 名城,0,1,57.0
2026-08-12|日本 の 名城,日本 の 名城,0,2,60.5
2026-08-12|日本 の 国宝 の 城,日本 の 国宝 の 城,0,1,69.0
2026-08-12|日本100名城,日本100名城,0,1,14.0
2026-08-12|日本の 有名な城一覧,日本の 有名な城一覧,0,1,45.0
2026-08-12|日本の名城,日本の名城,0,1,63.0
2026-08-12|日本名城百選,日本名城百選,0,1,21.0
2026-08-12|百 城,百 城,0,1,58.0
2026-08-12|百名城,百名城,0,5,8.0
2026-08-12|百名城 続百名城,百名城 続百名城,0,1,93.0
2026-08-12|続 百名 城 マップ,続 百名 城 マップ,0,1,65.0
"2026-08-13|""龍勢"" ""作成中"" ""城めぐり"" アプリ","""龍勢"" ""作成中"" ""城めぐり"" アプリ",0,1,10.0
